5,30,58
5,30,59
4,37,60
55,22,61
55,22,62
10,36,63
10,36,64
45,16,65
45,16,66
49,20,67
49,20,68
11,40,69
11,40,70
51,18,71
51,18,72
52,24,73
52,24,74
2,35,75
2,35,76
53,19,77
53,19,78
44,17,79
44,17,80
44,17,81
44,17,82
4,37,83
4,37,84
12,31,85
12,31,86
5,34,87
5,34,88
55,22,89
55,22,90
54,27,91
54,27,92
48,21,93
48,21,94
57,23,95
57,23,96
5,30,97
5,30,98
47,26,99
47,26,100
50,28,101
50,28,102
46,21,103
46,21,104
61,62,105
63,350,106
79,80,107
58,522,108
69,341,109
60,344,110
63,350,111
63,350,112
81,82,113
60,344,114
63,350,115
81,82,116
63,350,117
81,82,118
75,76,119
58,522,120
91,383,121
91,383,122
93,345,123
93,345,124
63,350,125
93,345,126
63,350,127
58,522,128
58,522,129
91,383,130
73,367,131
73,367,132
91,383,133
79,80,134
79,80,135
69,341,137
65,485,138
60,344,139
71,343,140
61,62,141
61,62,142
71,343,143
60,344,144
14,22,145
8,19,146
58,522,148
58,522,149
65,485,150
65,485,151
93,345,152
69,341,153
95,467,154
69,341,155
58,522,158
75,76,159
63,350,160
93,345,161
65,485,162
71,343,163
93,345,164
103,104,165
103,104,166
103,104,167
61,62,168
93,345,169
103,104,170
71,343,171
61,62,172
58,522,173
14,22,174
58,522,175
87,88,176
14,22,177
87,88,178
73,367,180
73,367,181
65,485,182
65,485,183
58,522,184
93,345,185
69,341,186
61,62,187
71,343,188
58,522,189
93,345,190
61,62,191
61,62,192
61,62,193
58,522,194
61,62,195
61,62,196
93,345,197
67,394,198
67,394,199
14,22,200
14,22,201
93,345,202
93,345,203
14,22,204
67,394,205
93,345,206
14,22,207
67,394,208
69,341,209
65,485,210
69,341,211
65,485,212
69,341,213
79,80,214
79,80,215
79,80,216
79,80,217
65,485,218
69,341,219
65,485,220
91,383,221
91,383,222
63,350,223
91,383,224
63,350,226
60,344,227
60,344,228
63,350,229
60,344,230
63,350,231
63,350,232
69,341,233
60,344,234
93,345,235
69,341,236
69,341,237
69,341,238
67,394,239
8,19,240
14,22,241
14,22,242
58,522,243
69,341,244
93,345,245
8,19,246
69,341,247
93,345,248
77,453,249
61,62,250
71,343,251
71,343,252
61,62,253
77,453,254
77,453,255
103,104,256
103,104,257
103,104,258
63,350,259
95,467,260
91,383,261
91,383,264
7,23,265
7,23,266
63,350,267
79,80,268
61,62,269
61,62,270
93,345,271
67,394,272
77,453,273
77,453,274
61,62,275
61,62,276
67,394,277
79,80,278
93,345,279
103,104,280
73,367,281
91,383,282
77,453,283
73,367,284
73,367,285
77,453,286
91,383,287
77,453,288
103,104,289
91,383,290
103,104,291
63,350,292
75,76,293
7,23,294
7,23,295
91,383,296
7,23,297
75,76,299
91,383,300
63,350,301
63,350,302
75,76,303
63,350,304
63,350,306
63,350,307
60,344,308
61,62,309
101,102,310
58,522,311
61,62,312
61,62,313
95,458,314
71,343,315
101,102,316
79,80,317
71,343,318
101,102,319
95,458,320
61,62,321
95,458,322
79,80,323
79,80,324
61,62,325
81,82,326
61,62,327
81,82,328
95,458,329
79,80,330
58,522,331
61,62,332
69,341,333
69,341,336
69,341,338
56,29,339
12,31,340
11,40,341
12,31,342
51,18,343
4,37,344
48,21,345
4,37,346
11,40,347
53,19,348
4,37,349
10,36,350
57,23,351
50,28,352
52,24,355
52,24,356
47,26,357
12,31,358
12,31,359
56,29,360
48,21,361
48,21,364
46,21,365
10,36,366
52,24,367
50,28,368
57,23,369
4,37,370
11,40,373
46,21,374
10,36,375
53,19,376
47,26,377
9,32,378
50,28,379
10,36,382
54,27,383
4,37,384
10,36,385
50,28,386
11,40,387
48,21,388
4,37,391
46,21,392
4,37,393
49,20,394
54,27,395
10,36,396
10,36,397
50,28,400
12,31,401
10,36,402
5,34,403
50,28,404
52,24,405
51,18,406
10,36,409
46,21,410
12,31,411
46,21,412
54,27,413
10,36,414
52,24,415
50,28,418
51,18,419
47,26,420
53,19,421
48,21,422
50,28,423
4,37,424
57,23,425
53,19,426
49,20,427
12,31,428
51,18,429
47,26,430
48,21,431
48,21,432
49,20,433
53,19,434
46,21,435
50,28,436
4,37,437
47,26,438
12,31,439
47,26,440
10,36,441
11,40,442
49,20,443
54,27,444
49,20,445
56,25,446
54,27,447
54,27,448
54,27,449
46,21,450
57,23,451
4,37,452
53,19,453
12,31,454
50,28,455
12,31,456
45,16,457
57,23,458
56,25,459
57,23,460
4,37,461
53,19,462
54,27,463
48,21,464
51,18,465
53,19,466
57,23,467
4,37,468
4,37,469
10,36,470
46,21,471
47,26,472
4,37,473
53,19,474
12,31,475
57,23,476
50,28,477
11,40,478
10,36,479
57,23,480
12,31,481
53,19,482
53,19,483
11,40,484
45,16,485
56,25,486
4,37,487
45,16,488
47,26,489
54,27,490
11,40,491
12,31,492
57,23,493
11,40,494
48,21,495
46,21,496
53,19,497
54,27,498
53,19,499
11,40,500
54,27,501
57,23,502
12,31,503
49,20,504
10,36,505
48,21,506
10,36,507
10,36,508
12,31,509
12,31,510
4,37,511
50,28,512
54,27,513
10,36,514
49,20,515
49,20,516
49,20,517
54,27,518
4,37,519
54,27,520
4,37,521
5,30,522
