ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
141,QH,401,6/23/2016,M,1.779,Before,9/19/2016,1255,NMP,2,0,2,0,0,2,0,1,0,N
142,CQ,431,6/23/2016,M,1.749,After,9/19/2016,1600,NMP,1,0,4,2,0,4,2,0,0,N
142,CQ,431,6/23/2016,M,1.749,Before,9/19/2016,1335,NMP,0,0,0,0,0,0,0,0,0,N
143,CQ,404,5/24/2016,M,1.653,After,9/19/2016,1600,NMP,0,0,0,0,0,3,0,0,0,N
143,CQ,404,5/24/2016,M,1.653,Before,9/19/2016,1335,NMP,0,0,1,0,0,3,0,0,0,N
144,QH,401,6/23/2016,M,1.771,After,9/19/2016,1615,NMP,3,22,32,0,0,2,8,4,0,N
144,QH,401,6/23/2016,M,1.771,Before,9/19/2016,1255,NMP,2,4,4,0,0,1,2,1,0,N
145,QC,404,6/10/2016,M,1.577,After,9/20/2016,1530,NMP,3,0,1,0,0,3,0,0,0,N
145,QC,404,6/10/2016,M,1.577,Before,9/20/2016,1245,NMP,3,3,4,0,0,5,3,0,0,N
146,CQ,401,6/6/2016,M,1.745,After,9/20/2016,1545,NMP,0,0,12,0,0,1,0,0,0,N
146,CQ,401,6/6/2016,M,1.745,Before,9/20/2016,1300,NMP,0,0,4,0,0,1,0,0,0,N
147,CQ,416,6/12/2016,M,1.785,After,9/20/2016,1545,NMP,0,0,2,0,0,1,0,0,0,N
156,CQ,416,6/12/2016,M,1.673,After,9/20/2016,1510,NMP,0,0,0,0,0,0,0,0,0,N
156,CQ,416,6/12/2016,M,1.673,Before,9/20/2016,1315,NMP,5,0,12,0,0,7,0,1,0,N
157,QC,401,6/15/2016,M,1.896,After,9/21/2016,1435,NMP,2,0,6,0,0,1,2,1,0,N
157,QC,401,6/15/2016,M,1.896,Before,9/21/2016,1235,NMP,2,0,11,0,0,1,0,2,0,N
158,QC,401,6/15/2016,M,1.756,After,9/21/2016,1435,NMP,0,0,12,0,0,1,0,0,0,N
158,QC,401,6/15/2016,M,1.756,Before,9/21/2016,1235,NMP,1,2,4,0,0,1,3,0,0,N
159,CQ,430,6/17/2016,M,1.748,After,9/21/2016,1435,NMP,0,2,6,0,0,2,0,0,0,N
159,CQ,430,6/17/2016,M,1.748,Before,9/21/2016,1235,NMP,1,2,19,0,0,0,0,1,0,N
160,CM,420,6/6/2016,M,1.657,After,9/21/2016,,NMP,0,1,2,0,0,2,0,0,0,N
160,CM,420,6/6/2016,M,1.657,Before,9/21/2016,1235,NMP,0,0,4,0,0,1,0,0,0,N
161,CQ,430,6/17/2016,M,1.595,After,9/21/2016,1420,NMP,0,0,5,0,0,1,0,0,0,N
161,CQ,430,6/17/2016,M,1.595,Before,9/21/2016,1245,NMP,1,0,10,1,0,2,0,0,0,N
162,QC,401,6/15/2016,M,1.937,After,9/21/2016,1420,NMP,0,0,4,0,0,1,0,0,0,N
162,QC,401,6/15/2016,M,1.937,Before,9/21/2016,1245,NMP,1,0,11,2,0,2,0,0,0,N
163,CM,420,6/6/2016,M,1.717,After,9/21/2016,1420,NMP,0,0,2,0,0,1,0,0,0,N
163,CM,420,6/6/2016,M,1.717,Before,9/21/2016,1245,NMP,1,0,7,0,0,1,1,0,0,N
164,CQ,430,6/17/2016,M,1.831,After,9/21/2016,1420,NMP,3,5,16,0,0,3,4,1,0,N
164,CQ,430,6/17/2016,M,1.831,Before,9/21/2016,1245,NMP,1,6,21,10,0,0,1,4,0,N
165,CQ,430,5/20/2016,M,1.628,After,9/22/2016,1745,NMP,6,3,19,0,0,6,1,0,0,N
165,CQ,430,5/20/2016,M,1.628,Before,9/22/2016,1420,NMP,5,4,15,0,0,4,3,0,0,N
166,QH,404,6/6/2016,M,1.896,After,9/22/2016,1730,NMP,0,0,17,0,0,2,0,0,0,N
166,QH,404,6/6/2016,M,1.896,Before,9/22/2016,1445,NMP,1,0,14,2,0,3,0,0,0,N
167,QC,401,4/21/2016,M,1.984,After,9/22/2016,1745,NMP,0,0,19,0,0,1,0,0,0,N
167,QC,401,4/21/2016,M,1.984,Before,9/22/2016,1420,NMP,0,0,5,0,0,1,0,0,0,N
168,QH,404,6/6/2016,M,1.728,After,9/22/2016,1730,NMP,0,0,3,3,0,4,0,0,0,N
168,QH,404,6/6/2016,M,1.728,Before,9/22/2016,1445,NMP,0,1,16,6,0,2,0,0,0,N
