ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated,Aggro,Pass,ChaseAggro,IgnorePass
84,QC,434,6/1/2016,M,1.741,Before,9/9/2016,NMP,0,0,1,0,0,1,0,0,0,N,0,1,0,2
85,QC,401,5/27/2016,M,1.868,Before,9/19/2016,NMP,0,0,0,0,0,0,0,0,0,N,0,0,0,0
85,QC,401,5/27/2016,M,1.868,After,9/10/2016,NMP,0,0,0,0,0,1,0,0,0,N,0,0,0,1
86,QC,411,6/15/2016,M,1.882,Before,9/9/2016,NMP,2,0,5,0,0,1,0,0,0,N,0,5,2,6
86,QC,411,6/15/2016,M,1.882,After,9/10/2016,NMP,1,0,21,0,0,2,0,0,0,N,0,21,1,23
87,CQ,431,6/23/2016,M,1.671,Before,9/9/2016,NMP,0,0,0,0,0,1,0,0,0,N,0,0,0,1
87,CQ,431,6/23/2016,M,1.671,After,9/10/2016,NMP,0,0,0,0,0,1,0,0,0,N,0,0,0,1
89,CQ,438,5/20/2016,M,1.659,Before,9/12/2016,NMP,1,0,0,0,0,2,1,0,0,N,1,0,2,2
90,CQ,426,5/3/2016,M,1.658,Before,9/12/2016,NMP,0,0,12,0,0,1,0,0,0,N,0,12,0,13
91,CQ,431,5/27/2016,M,1.698,Before,9/12/2016,NMP,0,0,0,0,0,0,0,0,0,N,0,0,0,0
92,CQ,438,5/3/2016,M,1.59,Before,9/12/2016,NMP,0,3,18,0,0,0,3,1,0,N,7,18,7,18
93,CQ,405,5/27/2016,M,1.772,Before,9/12/2016,NMP,1,0,5,0,0,2,0,0,0,N,0,5,1,7
94,CQ,438,5/20/2016,M,1.67,Before,9/18/2016,NMP,4,3,20,0,4,1,1,0,0,N,4,20,8,21
105,QC,424,5/26/2016,M,1.811,Before,9/15/2016,NMP,0,0,16,0,0,1,0,0,0,N,0,16,0,17
105,QC,424,5/26/2016,M,1.811,After,9/14/2016,NMP,0,0,5,0,0,2,0,0,0,N,0,5,0,7
106,QH,401,6/23/2016,M,1.811,After,9/14/2016,NMP,1,3,11,0,0,2,1,0,0,N,4,11,5,13
107,QC,434,6/20/2016,M,1.755,Before,9/13/2016,NMP,3,0,14,1,0,2,1,0,0,N,1,15,4,17
107,QC,434,6/20/2016,M,1.755,After,9/14/2016,NMP,0,0,23,1,0,0,1,0,0,N,1,24,1,24
