ID,Pop,Family,DateBorn,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Suc_SigCop,Ignore,Sigmoid,Lunge,Nip,Suc_ForcCop,Copulated
55,QC,404,5/5/2016,1.922,Before, 9-2-16, 15-35, QI,15,2,4,0,15,2,0,0,0,N
57,CQ,426,6/6/2016,1.817,Before, 9-6-16, 12-30, QI,15,0,5,0,15,0,0,0,0,N
60,QC,419,6/15/2016,1.574,Before, 9-6-16, 12-45, QI,5,11,23,0,2,1,0,0,0,N
61,CQ,426,6/6/2016,1.491,Before, 9-6-16, 12-30, QI,0,0,0,0,2,0,0,0,0,N
63,QC,419,6/15/2016,1.611,Before, 9-6-16, 12-45, QI,1,5,13,0,2,0,0,0,0,N
65,QC,434,6/20/2016,1.812,Before, 9-7-16, 13-20, QI,3,1,15,0,2,0,0,0,0,N
66,CM,404,6/10/2016,1.637,Before, 9-7-16,13, QI,9,0,4,0,7,0,0,0,0,N
67,QH,401,4/27/2016,1.947,Before, 9-7-16,13, QI,7,0,3,0,9,3,0,0,0,N
68,QC,434,6/20/2016,1.804,Before, 9-7-16,13, QI,8,0,1,0,8,0,0,0,0,N
69,CM,404,6/10/2016,1.827,Before, 9-7-16,13, QI,0,0,0,0,1,0,0,0,0,N
71,QH,417,5/9/2016,1.839,Before, 9-7-16, 13-20, QI,3,0,0,0,4,0,0,0,0,N
73,CQ,401,6/6/2016,1.58,Before, 9-8-16, 12-50, QI,0,0,0,0,1,0,0,0,0,N
75,CQ,401,6/6/2016,1.674,Before, 9-8-16, 12-50, QI,14,3,1,0,13,2,1,0,0,N
165,CQ,430,5/20/2016,1.628,Before, 9/22/16,1420, SNC,7,0,13,0,6,0,1,2,0,N
166,QH,404,6/6/2016,1.896,Before, 9/22/16,1445, SNC,5,0,6,0,5,0,0,0,0,N
168,QH,404,6/6/2016,1.728,Before, 9/22/16,1445, SNC,3,0,2,0,4,0,1,0,0,N
169,QC,411,6/15/2016,1.937,Before, 9/22/16,1400, SNC,5,0,1,0,5,0,0,3,0,N
171,QC,401,4/21/2016,1.868,Before, 9/22/16,1420, SNC,0,0,0,0,1,0,0,1,0,N
172,QC,401,4/21/2016,1.727,Before, 9/22/16,1400, SNC,0,0,6,0,1,0,0,0,0,N
175,QC,411,6/15/2016,1.769,Before, 9/22/16,1400, SNC,5,1,3,0,5,0,0,1,0,N
176,CM,404,6/10/2016,1.839,Before, 9/22/16,1445, SNC,9,0,13,0,9,0,0,0,0,N
179,CQ,414,6/17/2016,1.643,Before, 9/23/16,1415, SNC,1,0,1,0,2,0,0,0,0,N
182,CQ,438,6/15/2016,1.616,Before, 9/23/16,1430, SNC,0,0,6,0,1,0,0,0,0,N
184,CQ,430,6/17/2016,1.714,Before, 9/28/16,1230, SNC,0,0,0,0,1,0,0,0,0,N
185,CQ,438,6/15/2016,1.756,Before, 9/23/16,1445, SNC,0,0,2,0,1,0,0,0,0,N
188,CQ,438,6/15/2016,1.981,Before, 9/23/16,1415, SNC,1,0,12,0,0,9,3,0,0,N
190,CQ,426,5/31/2016,1.582,Before, 9/26/16,1545, SNC,0,0,0,0,0,0,0,0,0,N
193,CQ,426,5/31/2016,1.589,Before, 9/26/16,1250, SNC,0,0,0,0,1,0,0,0,0,N
195,CQ,426,5/31/2016,1.644,Before, 9/26/16,1305, SNC,1,3,8,0,1,2,5,0,0,N
198,CQ,416,6/18/2016,1.858,Before, 9/26/16,1320, SNC,2,1,4,0,3,0,0,0,0,N
202,CQ,430,4/21/2016,1.79,Before, 9/27/16,1310, SNC,4,0,2,0,5,0,0,0,0,N
204,CM,404,6/10/2016,1.663,Before, 9/27/16,1310, SNC,0,0,0,0,1,0,0,0,0,N
206,QC,401,6/15/2016,1.99,Before, 9/27/16,1250, SNC,1,0,0,0,2,1,0,0,0,N
208,CQ,435,4/24/2016,1.857,Before, 9/27/16,1410, SNC,0,0,4,0,1,0,0,0,0,N
212,CQ,438,4/24/2016,1.811,Before, 9/27/16,1410, SNC,3,0,11,0,4,0,3,0,0,N
214,CQ,414,4/29/2016,1.696,Before, 9/28/16,1230, SNC,5,2,6,0,4,0,4,7,0,N
220,QH,401,4/27/2016,1.961,Before, 9/29/16,1250, SNC,5,0,0,0,6,0,0,0,0,N
221,QH,417,5/9/2016,1.713,Before, 9/29/16,1250, SNC,0,0,3,0,1,0,0,0,0,N
226,QC,404,5/10/2016,1.811,Before, 9/29/16,1330, SNC,6,0,0,0,7,0,0,0,0,N
228,QC,404,5/10/2016,1.865,Before, 9/29/16,1330, SNC,4,6,10,0,3,0,0,5,0,N
229,CQ,431,4/28/2016,1.927,Before, 9/29/16,1300, SNC,4,0,5,0,5,0,0,1,0,N
231,CQ,404,4/26/2016,1.674,Before, 9/29/16,1300, SNC,0,0,0,0,1,0,0,0,0,N
