ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,Forced_Cop_Attempt,G_Swing,Ignore,Lunge,Nip,Sigmoid,Suc_Forced_Cop,Suc_Sigmoid_Cop,TTSigmoid,TTAvgSigmoid,Copulated
65,QC,434,6/20/2016,M,1.812,Before,9/7/2016,1320,QI,3,1,15,2,0,0,0,0,0,0,0,N
65,QC,434,6/20/2016,M,1.812,After,9/8/2016,810,QI,9,0,11,8,0,0,0,0,0,0,0,N
66,CM,404,6/10/2016,M,1.637,Before,9/7/2016,1300,QI,9,0,4,7,0,0,0,0,0,0,0,N
66,CM,404,6/10/2016,M,1.637,After,9/8/2016,820,QI,9,0,3,11,0,0,0,0,0,0,0,N
67,QH,401,4/27/2016,M,1.947,Before,9/7/2016,1300,QI,7,0,3,9,0,0,3,0,0,3.667,1.222333333,N
67,QH,401,4/27/2016,M,1.947,After,9/8/2016,820,QI,6,0,6,7,0,0,0,0,0,0,0,N
68,QC,434,6/20/2016,M,1.804,Before,9/7/2016,1300,QI,8,0,1,8,0,0,0,0,0,0,0,N
68,QC,434,6/20/2016,M,1.804,After,9/8/2016,810,QI,6,4,10,7,0,0,0,0,0,0,0,N
69,CM,404,6/10/2016,M,1.827,Before,9/7/2016,1300,QI,0,0,0,1,0,0,0,0,0,0,0,N
69,CM,404,6/10/2016,M,1.827,After,9/8/2016,810,QI,0,0,0,1,0,0,0,0,0,0,0,N
71,QH,417,5/9/2016,M,1.839,Before,9/7/2016,1320,QI,3,0,0,4,0,0,0,0,0,0,0,N
71,QH,417,5/9/2016,M,1.839,After,9/8/2016,810,QI,1,0,0,1,0,0,0,0,0,0,0,N
73,CQ,401,6/6/2016,M,1.58,Before,9/8/2016,1250,QI,0,0,0,1,0,0,0,0,0,0,0,N
73,CQ,401,6/6/2016,M,1.58,After,9/9/2016,810,QI,0,0,0,1,0,0,0,0,0,0,0,N
75,CQ,401,6/6/2016,M,1.674,Before,9/8/2016,1250,QI,14,3,1,13,1,0,2,0,0,0.803,0.4015,N
75,CQ,401,6/6/2016,M,1.674,After,9/9/2016,830,QI,10,1,4,11,0,0,0,0,0,0,0,N
